2017-03-03 15:22:06 install libklibc:armhf <none> 2.0.4-2+rpi1
2017-03-03 15:22:06 status half-installed libklibc:armhf 2.0.4-2+rpi1
2017-03-03 15:22:06 status unpacked libklibc:armhf 2.0.4-2+rpi1
2017-03-03 15:22:06 status unpacked libklibc:armhf 2.0.4-2+rpi1
2017-03-03 15:22:06 install libkmod2:armhf <none> 18-3
2017-03-03 15:22:06 status half-installed libkmod2:armhf 18-3
2017-03-03 15:22:06 status unpacked libkmod2:armhf 18-3
2017-03-03 15:22:06 status unpacked libkmod2:armhf 18-3
2017-03-03 15:22:06 install liblocale-gettext-perl:armhf <none> 1.05-8+b1
2017-03-03 15:22:06 status half-installed liblocale-gettext-perl:armhf 1.05-8+b1
2017-03-03 15:22:06 status unpacked liblocale-gettext-perl:armhf 1.05-8+b1
2017-03-03 15:22:06 status unpacked liblocale-gettext-perl:armhf 1.05-8+b1
2017-03-03 15:22:06 install liblzma5:armhf <none> 5.1.1alpha+20120614-2
2017-03-03 15:22:06 status half-installed liblzma5:armhf 5.1.1alpha+20120614-2
2017-03-03 15:22:06 status unpacked liblzma5:armhf 5.1.1alpha+20120614-2
2017-03-03 15:22:06 status unpacked liblzma5:armhf 5.1.1alpha+20120614-2
2017-03-03 15:22:06 install libmount1:armhf <none> 2.25.2-6
2017-03-03 15:22:06 status half-installed libmount1:armhf 2.25.2-6
2017-03-03 15:22:06 status unpacked libmount1:armhf 2.25.2-6
2017-03-03 15:22:06 status unpacked libmount1:armhf 2.25.2-6
2017-03-03 15:22:06 install libncurses5:armhf <none> 5.9+20140913-1
2017-03-03 15:22:06 status half-installed libncurses5:armhf 5.9+20140913-1
2017-03-03 15:22:07 status unpacked libncurses5:armhf 5.9+20140913-1
2017-03-03 15:22:07 status unpacked libncurses5:armhf 5.9+20140913-1
2017-03-03 15:22:07 install libncursesw5:armhf <none> 5.9+20140913-1
2017-03-03 15:22:07 status half-installed libncursesw5:armhf 5.9+20140913-1
2017-03-03 15:22:07 status unpacked libncursesw5:armhf 5.9+20140913-1
2017-03-03 15:22:07 status unpacked libncursesw5:armhf 5.9+20140913-1
2017-03-03 15:22:07 install libnih-dbus1:armhf <none> 1.0.3-4.3
2017-03-03 15:22:07 status half-installed libnih-dbus1:armhf 1.0.3-4.3
2017-03-03 15:22:07 status unpacked libnih-dbus1:armhf 1.0.3-4.3
2017-03-03 15:22:07 status unpacked libnih-dbus1:armhf 1.0.3-4.3
2017-03-03 15:22:07 install libnih1:armhf <none> 1.0.3-4.3
2017-03-03 15:22:07 status half-installed libnih1:armhf 1.0.3-4.3
2017-03-03 15:22:07 status unpacked libnih1:armhf 1.0.3-4.3
2017-03-03 15:22:07 status unpacked libnih1:armhf 1.0.3-4.3
2017-03-03 15:22:07 install libpam-modules:armhf <none> 1.1.8-3.1+deb8u2
2017-03-03 15:22:07 status half-installed libpam-modules:armhf 1.1.8-3.1+deb8u2
2017-03-03 15:22:08 status unpacked libpam-modules:armhf 1.1.8-3.1+deb8u2
2017-03-03 15:22:08 status unpacked libpam-modules:armhf 1.1.8-3.1+deb8u2
2017-03-03 15:22:08 install libpam-modules-bin:armhf <none> 1.1.8-3.1+deb8u2
2017-03-03 15:22:08 status half-installed libpam-modules-bin:armhf 1.1.8-3.1+deb8u2
2017-03-03 15:22:09 status unpacked libpam-modules-bin:armhf 1.1.8-3.1+deb8u2
2017-03-03 15:22:09 status unpacked libpam-modules-bin:armhf 1.1.8-3.1+deb8u2
2017-03-03 15:22:09 install libpam-runtime:all <none> 1.1.8-3.1+deb8u2
2017-03-03 15:22:09 status half-installed libpam-runtime:all 1.1.8-3.1+deb8u2
2017-03-03 15:22:09 status unpacked libpam-runtime:all 1.1.8-3.1+deb8u2
2017-03-03 15:22:09 status unpacked libpam-runtime:all 1.1.8-3.1+deb8u2
2017-03-03 15:22:09 install libpam0g:armhf <none> 1.1.8-3.1+deb8u2
2017-03-03 15:22:09 status half-installed libpam0g:armhf 1.1.8-3.1+deb8u2
2017-03-03 15:22:09 status unpacked libpam0g:armhf 1.1.8-3.1+deb8u2
2017-03-03 15:22:09 status unpacked libpam0g:armhf 1.1.8-3.1+deb8u2
2017-03-03 15:22:09 install libpcre3:armhf <none> 2:8.35-3.3+deb8u4
2017-03-03 15:22:09 status half-installed libpcre3:armhf 2:8.35-3.3+deb8u4
2017-03-03 15:22:09 status unpacked libpcre3:armhf 2:8.35-3.3+deb8u4
2017-03-03 15:22:09 status unpacked libpcre3:armhf 2:8.35-3.3+deb8u4
2017-03-03 15:22:10 install libpng12-0:armhf <none> 1.2.50-2+deb8u3
2017-03-03 15:22:10 status half-installed libpng12-0:armhf 1.2.50-2+deb8u3
2017-03-03 15:22:10 status unpacked libpng12-0:armhf 1.2.50-2+deb8u3
2017-03-03 15:22:10 status unpacked libpng12-0:armhf 1.2.50-2+deb8u3
2017-03-03 15:22:10 install libprocps3:armhf <none> 2:3.3.9-9
2017-03-03 15:22:10 status half-installed libprocps3:armhf 2:3.3.9-9
2017-03-03 15:22:12 status unpacked libprocps3:armhf 2:3.3.9-9
2017-03-03 15:22:12 status unpacked libprocps3:armhf 2:3.3.9-9
2017-03-03 15:22:12 install libselinux1:armhf <none> 2.3-2
2017-03-03 15:22:12 status half-installed libselinux1:armhf 2.3-2
2017-03-03 15:22:12 status unpacked libselinux1:armhf 2.3-2
2017-03-03 15:22:12 status unpacked libselinux1:armhf 2.3-2
2017-03-03 15:22:13 install libsemanage-common:all <none> 2.3-1
2017-03-03 15:22:13 status half-installed libsemanage-common:all 2.3-1
2017-03-03 15:22:13 status unpacked libsemanage-common:all 2.3-1
2017-03-03 15:22:13 status unpacked libsemanage-common:all 2.3-1
2017-03-03 15:22:13 install libsemanage1:armhf <none> 2.3-1
2017-03-03 15:22:13 status half-installed libsemanage1:armhf 2.3-1
2017-03-03 15:22:13 status unpacked libsemanage1:armhf 2.3-1
2017-03-03 15:22:13 status unpacked libsemanage1:armhf 2.3-1
2017-03-03 15:22:13 install libsepol1:armhf <none> 2.3-2
2017-03-03 15:22:13 status half-installed libsepol1:armhf 2.3-2
2017-03-03 15:22:13 status unpacked libsepol1:armhf 2.3-2
2017-03-03 15:22:13 status unpacked libsepol1:armhf 2.3-2
2017-03-03 15:22:13 install libslang2:armhf <none> 2.3.0-2
2017-03-03 15:22:13 status half-installed libslang2:armhf 2.3.0-2
